N,compile_time,constraints,contribute_time,export_vkey_time,layer_used,proof_size_bytes,prove_time,setup_time,verified,verify_time,witness_time
16,0.13724184036254883,48,0.573474645614624,0.5744249820709229,3,805,0.5771913528442383,0.706404447555542,True,0.5513088703155518,0.09037923812866211
32,0.08553528785705566,96,0.5473787784576416,0.5769627094268799,3,806,0.6172993183135986,0.6290087699890137,True,0.54378342628479,0.08317065238952637
64,0.09047365188598633,192,0.566328763961792,0.5897181034088135,3,805,0.6539642810821533,0.7465407848358154,True,0.5679116249084473,0.08488750457763672
128,0.09790945053100586,384,0.6357800960540771,0.6030993461608887,3,806,0.6336901187896729,0.9055633544921875,True,0.5556879043579102,0.08664894104003906
256,0.11024188995361328,768,0.7045834064483643,0.6253087520599365,3,807,0.6311705112457275,1.2751929759979248,True,0.5340490341186523,0.09217381477355957
512,0.1426239013671875,1536,0.8461964130401611,0.6784884929656982,3,802,0.7281944751739502,1.9528861045837402,True,0.5452582836151123,0.10126733779907227
1024,0.20458340644836426,3072,1.0936024188995361,0.735210657119751,3,804,0.8444390296936035,3.354248523712158,True,0.5611417293548584,0.11006593704223633
2048,0.36684608459472656,6144,1.6935319900512695,0.9810924530029297,0,806,1.0570709705352783,5.9541919231414795,True,0.5764608383178711,0.1039886474609375
7168,1.353996992111206,21504,4.593365669250488,1.8724887371063232,0,804,1.8833234310150146,16.098652124404907,True,0.7127196788787842,0.1516284942626953
